package,description
FlowScreen,Daily Streamflow Trend and Change Point Screening
FLR,Fuzzy Logic Rule Classifier
flsa,Path Algorithm for the General Fused Lasso Signal Approximator
FLSSS,"Mining Rigs for Specialized Subset Sum, Multi-Subset Sum, Multidimensional Subset Sum, Multidimensional Knapsack, Generalized Assignment Problems"
FluMoDL,Influenza-Attributable Mortality with Distributed-Lag Models
fluoSurv,Estimate Insect Survival from Fluorescence Data
fluspect,Fluspect-B
flux,Flux rate calculation from dynamic closed chamber measurements
fluxweb,Estimate Energy Fluxes in Food Webs
flying,Simulation of Bird Flight Range
FlyingR,Simulation of Bird Flight Range
fma,"Data Sets from ""Forecasting: Methods and Applications"" by Makridakis, Wheelwright & Hyndman (1998)"
FMAdist,Frequentist Model Averaging Distribution
fmbasics,Financial Market Building Blocks
FMC,Factorial Experiments with Minimum Level Changes
FMCCSD,Efficient Estimation of Clustered Current Status Data
fmcmc,A friendly MCMC framework
fmdates,Financial Market Date Calculations
FME,"A Flexible Modelling Environment for Inverse Modelling, Sensitivity, Identifiability and Monte Carlo Analysis"
fmerPack,Tools of Heterogeneity Pursuit via Finite Mixture Effects Model
fmf,Fast Class Noise Detector with Multi-Factor-Based Learning
FMM,Rhythmic Patterns Modeling by FMM Models
FMP,Filtered Monotonic Polynomial IRT Models
fmpcloudr,R Access to the 'FMP Cloud' and 'Financial Modeling Prep' API
FMradio,Factor Modeling for Radiomics Data
fmri,Analysis of fMRI Experiments
fmriqa,Functional MRI Quality Assurance Routines
fmsb,Functions for Medical Statistics Book with some Demographic Data
FMsmsnReg,Regression Models with Finite Mixtures of Skew Heavy-Tailed Errors
FMStable,Finite Moment Stable Distributions
fmtr,Easily Apply Formats to Data
fMultivar,Rmetrics - Analysing and Modeling Multivariate Financial Return Distributions
FNN,Fast Nearest Neighbor Search Algorithms and Applications
fNonlinear,Rmetrics - Nonlinear and Chaotic Time Series Modelling
FOCI,Feature Ordering by Conditional Independence
focusedMDS,"Focused, Interactive Multidimensional Scaling"
foghorn,Summarize CRAN Check Results in the Terminal
foieGras,Fit Continuous-Time State-Space and Latent Variable Models for Quality Control of Argos Satellite (and Other) Telemetry Data and for Estimating Movement Behaviour
folderfun,Creates and Manages Folder Functions for Portable Large-Scale R Analysis
folio,Datasets for Teaching Archaeology and Paleontology
fontawesome,Easily Work with 'Font Awesome' Icons
fontBitstreamVera,Fonts with 'Bitstream Vera Fonts' License
fontcm,Computer Modern font for use with extrafont package
fontHind,Additional 'ggplot2' Themes Using 'Hind' Fonts
fontLiberation,Liberation Fonts
fontMPlus,Additional 'ggplot2' Themes Using 'M+' Fonts
fontquiver,Set of Installed Fonts
foodingraph,Food Network Inference and Visualization
foodweb,visualisation and analysis of food web networks
foolbox,Function Manipulation Toolbox
footballpenaltiesBL,Penalties in the German Men's Football Bundesliga
footprint,Calculate Air Travel Emissions
fOptions,Rmetrics - Pricing and Evaluating Basic Options
foqat,Field Observation Quick Analysis Toolkit
forams,Foraminifera and Community Ecology Analyses
forcats,Tools for Working with Categorical Variables (Factors)
foreach,Provides Foreach Looping Construct
ForeCA,Forecastable Component Analysis
forecast,Forecasting Functions for Time Series and Linear Models
ForecastComb,Forecast Combination Methods
ForecastCombinations,Forecast Combinations
forecastHybrid,Convenient Functions for Ensemble Time Series Forecasts
forecastML,Time Series Forecasting with Machine Learning Methods
forecastSNSTS,Forecasting for Stationary and Non-Stationary Time Series
ForecastTB,Test Bench for the Comparison of Forecast Methods
FoReco,Point Forecast Reconciliation
forecTheta,Forecasting Time Series by Theta Models
foreign,"Read Data Stored by 'Minitab', 'S', 'SAS', 'SPSS', 'Stata', 'Systat', 'Weka', 'dBase', ..."
forensic,Statistical Methods in Forensic Genetics
forensim,Statistical tools for the interpretation of forensic DNA mixtures
foreSIGHT,Systems Insights from Generation of Hydroclimatic Timeseries
forestControl,Approximate False Positive Rate Control in Selection Frequency for Random Forest
ForestDisc,Forest Discretization
forestecology,Methods and Data for Forest Ecology Model Fitting and Assessment
forestError,A Unified Framework for Random Forest Prediction Error Estimation
ForestFit,Statistical Modelling for Plant Size Distributions
forestHES,Forest Health Evaluation System at the Forest Stand Level in China
forestinventory,Design-Based Global and Small-Area Estimations for Multiphase Forest Inventories
forestmangr,Forest Mensuration and Management
forestmodel,Forest Plots from Regression Models
forestplot,Advanced Forest Plot Using 'grid' Graphics
forestr,Ecosystem and Canopy Structural Complexity Metrics from LiDAR
forestRK,Implements the Forest-R.K. Algorithm for Classification Problems
forestry,Reshape Data Tree
foretell,Projecting Customer Retention Based on Fader and Hardie Probability Models
forge,Casting Values into Shape
forImage,Foraminiferal Image Analysis and Test Measurement
ForImp,Imputation of Missing Values Through a Forward Imputation Algorithm
ForIT,Functions from the 2nd Italian Forest Inventory (INFC)
formatR,Format R Code Automatically
formattable,Create 'Formattable' Data Structures
Formula,Extended Model Formulas
formula.tools,"Programmatic Utilities for Manipulating Formulas, Expressions, Calls, Assignments and Other R Objects"
formulaic,Dynamic Generation and Quality Checks of Formula Objects
formulops,Mathematical Operations on R Formula
forplo,Flexible Forest Plots
forrel,Forensic Pedigree Analysis and Relatedness Inference
FORTLS,Automatic Processing of TLS Point Cloud Data for Forestry Purposes
fortunes,R Fortunes
forward,Robust Analysis using Forward Search
forwards,Data from Surveys Conducted by Forwards
ForwardSearch,Forward Search using asymptotic theory
fossil,Palaeoecological and Palaeogeographical Analysis Tools
FossilSim,Simulation of Fossil and Taxonomy Data
foster,Forest Structure Extrapolation with R
foto,Fourier Transform Textural Ordination
FourgameteP,FourGamete Test
fourierin,Computes Numeric Fourier Integrals
fourPNO,Bayesian 4 Parameter Item Response Model
FourScores,A Game for Human vs. Human or Human vs. AI
fpa,Spatio-Temporal Fixation Pattern Analysis
fpc,Flexible Procedures for Clustering
fpca,Restricted MLE for Functional Principal Components Analysis
FPCA2D,Two Dimensional Functional Principal Component Analysis
FPCA3D,Three Dimensional Functional Component Analysis
fpCompare,Reliable Comparison of Floating Point Numbers
FPDclustering,PD-Clustering and Factor PD-Clustering
fpeek,Check Text Files Content at a Glance
fpest,Estimating Finite Population Total
fplot,Automatic Distribution Graphs Using Formulas
fplyr,Apply Functions to Blocks of Files
fpmoutliers,Frequent Pattern Mining Outliers
fpop,Segmentation using Optimal Partitioning and Function Pruning
fPortfolio,Rmetrics - Portfolio Selection and Optimization
fpow,Computing the noncentrality parameter of the noncentral F distribution
fpp,"Data for ""Forecasting: principles and practice"""
fpp2,"Data for ""Forecasting: Principles and Practice"" (2nd Edition)"
fpp3,"Data for ""Forecasting: Principles and Practice"" (3rd Edition)"
fptdApprox,Approximation of First-Passage-Time Densities for Diffusion Processes
FPV,Testing Hypotheses via Fuzzy P-Value in Fuzzy Environment
fracdiff,"Fractionally Differenced ARIMA aka ARFIMA(P,d,q) Models"
fracprolif,Fraction Proliferation via a Quiescent Growth Model
fractaldim,Estimation of fractal dimensions
FractalParameterEstimation,Simulation and Parameter Estimation of Randomized Sierpinski Carpets using the p-p-p-q-Model
fractD,Estimation of Fractal Dimension of a Black Area in 2D and 3D (Slices) Images
FRACTION,Numeric number into fraction
fractional,Vulgar Fractions in R
fracture,Convert Decimals to Fractions
fragility,Assessing and Visualizing Fragility of Clinical Results with Binary Outcomes
Fragman,Fragment Analysis in R
frailtyEM,Fitting Frailty Models with the EM Algorithm
frailtyHL,Frailty Models via Hierarchical Likelihood
frailtypack,"General Frailty Models: Shared, Joint and Nested Frailty Models with Prediction; Evaluation of Failure-Time Surrogate Endpoints"
frailtySurv,General Semiparametric Shared Frailty Model
frair,Tools for Functional Response Analysis
frambgrowth,Simulation of the Growth of Framboidal and Sunflower Pyrite
Frames2,Estimation in Dual Frame Surveys
franc,Detect the Language of Text
FRAPO,Financial Risk Modelling and Portfolio Optimisation with R
frapplot,Automatic Data Processing and Visualization for FRAP
frbs,Fuzzy Rule-Based Systems for Classification and Regression Tasks
FRCC,Fast Regularized Canonical Correlation Analysis
frechet,Statistical Analysis for Random Objects and Non-Euclidean Data
fredr,An R Client for the 'FRED' API
freealg,The Free Algebra
freedom,Demonstration of Disease Freedom (DDF)
freegroup,The Free Group
FreeSortR,Free Sorting Data Analysis
freesurfer,Wrapper Functions for 'Freesurfer'
freesurferformats,Read and Write 'FreeSurfer' Neuroimaging File Formats
FREEtree,Tree Method for High Dimensional Longitudinal Data
freetypeharfbuzz,Deterministic Computation of Text Box Metrics
fRegression,Rmetrics - Regression Based Decision and Prediction
frenchCurve,Generate Open or Closed Interpolating Curves
FREQ,FREQ: Estimate population size from capture frequencies
freqdist,Frequency Distribution
freqdom,Frequency Domain Based Analysis: Dynamic PCA
freqdom.fda,Functional Time Series: Dynamic Functional Principal Components
freqparcoord,Novel Methods for Parallel Coordinates
FreqProf,Frequency Profiles Computing and Plotting
freqtables,Make Quick Descriptive Tables for Categorical Variables
frequency,Easy Frequency Tables
frequencyConnectedness,Spectral Decomposition of Connectedness Measures
frequentdirections,Implementation of Frequent-Directions Algorithm for Efficient Matrix Sketching
FRESA.CAD,Feature Selection Algorithms for Computer Aided Diagnosis
fresh,Create Custom 'Bootstrap' Themes to Use in 'Shiny'
FrF2,Fractional Factorial Designs with 2-Level Factors
FrF2.catlg128,Catalogues of resolution IV 128 run 2-level fractional factorials up to 33 factors that do have 5-letter words
friends,The Entire Transcript from Friends in Tidy Format
fritools,Utilities for the Forest Research Institute of the State Baden-Wuerttemberg
FRK,Fixed Rank Kriging
fRLR,Fit Repeated Linear Regressions
frm,Regression Analysis of Fractional Responses
frmhet,Regression Analysis of Fractional Responses Under Unobserved Heterogeneity
frmpd,Regression Analysis of Panel Fractional Responses
frmqa,"The Generalized Hyperbolic Distribution, Related Distributions and Their Applications in Finance"
fromo,Fast Robust Moments
frontier,Stochastic Frontier Analysis
frontiles,Partial Frontier Efficiency Analysis
frost,Prediction of Minimum Temperature for Frost Forecasting in Agriculture
frostr,R API to MET Norway's 'Frost' API
fruclimadapt,Evaluation Tools for Assessing Climate Adaptation of Fruit Tree Species
fs,Cross-Platform File System Operations Based on 'libuv'
FSA,Simple Fisheries Stock Assessment Methods
FSAdata,Data to Support Fish Stock Assessment ('FSA') Package
fsbrain,Managing and Visualizing Brain Surface Data
fscaret,Automated Feature Selection from 'caret'
FSDAM,Forward Stepwise Deep Autoencoder-Based Monotone NLDR
fsdaR,Robust Data Analysis Through Monitoring and Dynamic Visualization
FSelector,Selecting Attributes
FSelectorRcpp,'Rcpp' Implementation of 'FSelector' Entropy-Based Feature Selection Algorithms with a Sparse Matrix Support
fsia,Import and Analysis of OMR Data from FormScanner
FSinR,Feature Selection
FSInteract,Fast Searches for Interactions
FSK2R,An Interface Between the 'FSK-ML' Standard and 'R'
fslr,Wrapper Functions for 'FSL' ('FMRIB' Software Library) from Functional MRI of the Brain ('FMRIB')
FSM,Finite Selection Model
fsMTS,Feature Selection for Multivariate Time Series
FSMUMI,Imputation of Time Series Based on Fuzzy Logic
fsn,Rosenthal's Fail Safe Number and Related Functions
fso,Fuzzy Set Ordination
fspe,Estimating the Number of Factors in EFA with Out-of-Sample Prediction Errors
fSRM,"Social Relations Analyses with Roles (""Family SRM"")"
fssemR,Fused Sparse Structural Equation Models to Jointly Infer Gene Regulatory Network
FSSF,Generate Fully-Sequential Space-Filling Designs Inside a Unit Hypercube
fst,Lightning Fast Serialization of Data Frames
Fstability,Calculate Feature Stability
fstcore,R Bindings to the 'Fstlib' Library
fsthet,Fst-Heterozygosity Smoothed Quantiles
FSTpackage,Unified Sequence-Based Association Tests Allowing for Multiple Functional Annotation Scores
ftDK,A Wrapper for the API of the Danish Parliament
ftExtra,Extensions for 'Flextable'
ftnonpar,Features and Strings for Nonparametric Regression
fTrading,Rmetrics - Trading and Rebalancing Financial Instruments
ftrCOOL,Feature Extraction from Biological Sequences
fts,R Interface to 'tslib' (a Time Series Library in C++)
ftsa,Functional Time Series Analysis
ftsspec,Spectral Density Estimation and Comparison for Functional Time Series
fuel,Framework for Unified Estimation in Lognormal Models
fueleconomy,EPA Fuel Economy Data
fugeR,"FUzzy GEnetic, a machine learning algorithm to construct prediction model based on fuzzy logic"
fugue,Sensitivity Analysis Optimized for Matched Sets of Varied Sizes
fullfact,Full Factorial Breeding Analysis
fullROC,Plot Full ROC Curves using Eyewitness Lineup Data
fulltext,Full Text of 'Scholarly' Articles Across Many Data Sources
fun,Use R for Fun
func2vis,Clean and Visualize Over Expression Results from 'ConsensusPathDB'
FunCC,Functional Cheng and Church Bi-Clustering
funcharts,Functional Control Charts
funchir,Convenience Functions by Michael Chirico
FunChisq,Model-Free Functional Chi-Squared and Exact Tests
FunCluster,Functional Profiling of Microarray Expression Data
FuncMap,Hive Plots of R Package Function Calls
FuncNN,Functional Neural Networks
functClust,Functional Clustering of Redundant Components of a System
functional,"Curry, Compose, and other higher-order functions"
functiondepends,Find Functions and their Dependencies
functools,Functional Programming in R
funData,An S4 Class for Functional Data
fundiversity,Easy Computation of Alpha Functional Diversity Indices
funest,Functional Ensemble Survival Tree for Dynamic Prediction
funFEM,Clustering in the Discriminative Functional Subspace
fungible,Psychometric Functions from the Waller Lab
funGp,Gaussian Process Models for Scalar and Functional Inputs
funHDDC,Univariate and Multivariate Model-Based Clustering in Group-Specific Functional Subspaces
funique,A Faster Unique Function
fUnitRoots,Rmetrics - Modelling Trends and Unit Roots
funLBM,Model-Based Co-Clustering of Functional Data
funModeling,Exploratory Data Analysis and Data Preparation Tool-Box
funneljoin,Time-Based Joins to Analyze Sequences of Events
FunnelPlotR,Funnel Plots for Comparing Institutional Performance
funnelR,Funnel Plots for Proportion Data
funprog,Functional Programming
funr,Simple Utility Providing Terminal Access to all R Functions
funrar,Functional Rarity Indices Computation
funreg,Functional Regression for Irregularly Timed Data
FUNTA,Functional Tangential Angle Pseudo-Depth
funtimes,Functions for Time Series Analysis
FunWithNumbers,Fun with Fractions and Number Sequences
furniture,Furniture for Quantitative Scientists
furrr,Apply Mapping Functions in Parallel using Futures
fusedest,Block Splitting Algorithm for Estimation with Fused Penalty Functions
fuser,Fused Lasso for High-Dimensional Regression over Groups
fusionchartsR,Embedding 'FusionCharts Javascript' Library in R
fusionclust,Clustering and Feature Screening using L1 Fusion Penalty
FusionLearn,Fusion Learning
futile.logger,A Logging Utility for R
futile.options,Futile Options Management
futile.paradigm,A framework for working in a functional programming paradigm in R
futility,Interim Analysis of Operational Futility in Randomized Trials with Time-to-Event Endpoints and Fixed Follow-Up
future,Unified Parallel and Distributed Processing in R for Everyone
future.apply,Apply Function to Elements in Parallel using Futures
future.batchtools,A Future API for Parallel and Distributed Processing using 'batchtools'
future.callr,A Future API for Parallel Processing using 'callr'
future.tests,Test Suite for 'Future' API Backends
futureheatwaves,"Find, Characterize, and Explore Extreme Events in Climate Projections"
fuzzr,Fuzz-Test R Functions
Fuzzy.p.value,Computing Fuzzy p-Value
FuzzyAHP,(Fuzzy) AHP Calculation
fuzzyFDR,Exact calculation of fuzzy decision rules for multiple testing
fuzzyforest,Fuzzy Forests
fuzzyjoin,Join Tables Together on Inexact Matching
FuzzyLP,Fuzzy Linear Programming
FuzzyMCDM,Multi-Criteria Decision Making Methods for Fuzzy Data
FuzzyNumbers,Tools to Deal with Fuzzy Numbers
FuzzyNumbers.Ext.2,Apply Two Fuzzy Numbers on a Monotone Function
FuzzyQ,Fuzzy Quantification of Common and Rare Species
FuzzyR,Fuzzy Logic Toolkit for R
fuzzyRankTests,Fuzzy Rank Tests and Confidence Intervals
fuzzyreg,Fuzzy Linear Regression
fuzzySim,Fuzzy Similarity in Species Distributions
FuzzyStatProb,Fuzzy Stationary Probabilities from a Sequence of Observations of an Unknown Markov Chain
FuzzyStatTra,Statistical Methods for Trapezoidal Fuzzy Numbers
FuzzySTs,Fuzzy Statistical Tools
FuzzyToolkitUoN,Type 1 Fuzzy Logic Toolkit
fuzzywuzzyR,Fuzzy String Matching
FWDselect,Selecting Variables in Regression Models
fwi.fbp,Fire Weather Index System and Fire Behaviour Prediction System Calculations
fwildclusterboot,Fast Wild Cluster Bootstrap Inference for Linear Regression Models
fwsim,Fisher-Wright Population Simulation
fxregime,Exchange Rate Regime Analysis
fxTWAPLS,An Improved Version of WA-PLS
fy,Utilities for Financial Years
,
g.data,Delayed-Data Packages
G1DBN,A package performing Dynamic Bayesian Network inference
g2f,Find and Fill Gaps in Metabolic Networks
G2Sd,Grain-Size Statistics and Description of Sediment
g3viz,Interactively Visualize Genetic Mutation Data using a Lollipop-Diagram
GA,Genetic Algorithms
GAabbreviate,Abbreviating Items Measures using Genetic Algorithms
GABi,Framework for Generalized Subspace Pattern Mining
GACFF,Genetic Similarity in User-Based Collaborative Filtering
GAD,GAD: Analysis of variance from general principles
GADAG,A Genetic Algorithm for Learning Directed Acyclic Graphs
gadget2,Gadget is the Globally-Applicable Area Disaggregated General Ecosystem Toolbox
GaDiFPT,First Passage Time Simulation for Gaussian Diffusion Processes
GADMTools,Easy Use of 'GADM' Maps
gafit,Genetic Algorithm for Curve Fitting
gaiah,Genetic and Isotopic Assignment Accounting for Habitat Suitability
gainML,Machine Learning-Based Analysis of Potential Power Gain from Passive Device Installation on Wind Turbine Generators
gains,Lift (Gains) Tables and Charts
GAIPE,Graphical Extension with Accuracy in Parameter Estimation (GAIPE)
galah,Atlas of Living Australia (ALA) Data and Resources in R
GALLO,Genomic Annotation in Livestock for Positional Candidate LOci
galts,Genetic Algorithms and C-Steps Based LTS (Least Trimmed Squares) Estimation
galvanizer,Interface to Galvanize 'Highbond' Internal Audit Software
gam,Generalized Additive Models
gama,Genetic Approach to Maximize Clustering Criterion
gamair,Data for 'GAMs: An Introduction with R'
gambin,Fit the Gambin Model to Species Abundance Distributions
gamboostLSS,Boosting Methods for 'GAMLSS'
gamboostMSM,Estimating multistate models using gamboost()
gamclass,Functions and Data for a Course on Modern Regression and Classification
gamCopula,Generalized Additive Models for Bivariate Conditional Dependence Structures and Vine Copulas
GAMens,"Applies GAMbag, GAMrsm and GAMens Ensemble Classifiers for Binary Classification"
gameofthrones,"Palettes Inspired in the TV Show ""Game of Thrones"""
games,Statistical Estimation of Game-Theoretic Models
gamesGA,Genetic Algorithm for Sequential Symmetric Games
GameTheory,Cooperative Game Theory
GameTheoryAllocation,Tools for Calculating Allocations in Game Theory
gamlr,Gamma Lasso Regression
gamlss,Generalised Additive Models for Location Scale and Shape
gamlss.add,Extra Additive Terms for Generalized Additive Models for Location Scale and Shape
gamlss.cens,Fitting an Interval Response Variable Using ‘gamlss.family’ Distributions
gamlss.countKinf,Generating and Fitting K-Inflated 'discrete gamlss.family' Distributions
gamlss.data,Data for Generalised Additive Models for Location Scale and Shape
gamlss.demo,Demos for GAMLSS
gamlss.dist,Distributions for Generalized Additive Models for Location Scale and Shape
gamlss.foreach,Parallel Computations for Distributional Regression
gamlss.inf,Fitting Mixed (Inflated and Adjusted) Distributions
gamlss.lasso,Extra Lasso-Type Additive Terms for GAMLSS
gamlss.mx,Fitting Mixture Distributions with GAMLSS
gamlss.nl,Fitting non linear parametric GAMLSS models
gamlss.spatial,Spatial Terms in Generalized Additive Models for Location Scale and Shape Models
gamlss.tr,Generating and Fitting Truncated ‘gamlss.family’ Distributions
gamlssbssn,Bimodal Skew Symmetric Normal Distribution
gamm4,Generalized Additive Mixed Models using 'mgcv' and 'lme4'
gamm4.test,Comparing Nonlinear Curves and Surface Estimations by Semiparametric Methods
gamma,Dose Rate Estimation from in-Situ Gamma-Ray Spectrometry Measurements
Gammareg,Classic Gamma Regression: Joint Modeling of Mean and Shape Parameters
gammSlice,Generalized Additive Mixed Model Analysis via Slice Sampling
gamreg,Robust and Sparse Regression via Gamma-Divergence
gamRR,Calculate the RR for the GAM
gamsel,Fit Regularization Path for Generalized Additive Models
ganalytics,Interact with 'Google Analytics'
GANPA,Gene Association Network-Based Pathway Analysis (GANPA)
GANPAdata,The GANPA Datasets Package
gap,Genetic Analysis Package
gap.datasets,Datasets for 'gap'
GAparsimony,Searching Parsimony Models with Genetic Algorithms
gapfill,Fill Missing Values in Satellite Data
gapminder,Data from Gapminder
GARCHIto,Class of GARCH-Ito Models
garchmodels,The 'Tidymodels' Extension for GARCH Models
garchx,Flexible and Robust GARCH-X Modelling
GARCOM,"Gene and Region Counting of Mutations (""GARCOM"")"
gargle,Utilities for Working with Google APIs
gargoyle,An Event-Based Mechanism for 'Shiny'
garma,Fitting and Forecasting Gegenbauer ARMA Time Series Models
garray,Generalized Array Arithmetic for Ragged Arrays with Named Margins
GAS,Generalized Autoregressive Score Models
gaselect,Genetic Algorithm (GA) for Variable Selection from High-Dimensional Data
gasfluxes,Greenhouse Gas Flux Calculation from Chamber Measurements
gasper,Graph Signal Processing
gastempt,Analyzing Gastric Emptying from MRI or 'Scintigraphy'
gaston,"Genetic Data Handling (QC, GRM, LD, PCA) & Linear Mixed Models"
gatepoints,Easily Gate or Select Points on a Scatter Plot
gateR,Flow/Mass Cytometry Gating via Spatial Kernel Density Estimation
GauPro,Gaussian Process Fitting
gauseR,Lotka-Volterra Models for Gause's 'Struggle for Existence'
gausscov,The Gaussian Covariate Method for Variable Selection
gaussDiff,Difference measures for multivariate Gaussian probability density functions
gaussfacts,The Greatest Mathematician Since Antiquity
GaussianHMM1d,"Inference, Goodness-of-Fit and Forecast for Univariate Gaussian Hidden Markov Models"
gaussplotR,"Fit, Predict and Plot 2D Gaussians"
gaussquad,Collection of functions for Gaussian quadrature
gawdis,Multi-Trait Dissimilarity with more Uniform Contributions
gazepath,Parse Eye-Tracking Data into Fixations
gb,Generalize Lambda Distribution and Generalized Bootstrapping
GB2,"Generalized Beta Distribution of the Second Kind: Properties, Likelihood, Estimation"
GB2group,Estimation of the Generalised Beta Distribution of the Second Kind from Grouped Data
GBcurves,"Yield Curves of Brazil, China, and Russia"
gbeta,Generalized Beta and Beta Prime Distributions
gbfs,Interface with Live Bikeshare Data
GBJ,Generalized Berk-Jones Test for Set-Based Inference in Genetic Association Studies
gbm,Generalized Boosted Regression Models
gbm.auto,Automated Boosted Regression Tree Modelling and Mapping Suite
gbm2sas,Convert GBM Object Trees to SAS Code
gbp,A Bin Packing Problem Solver
gbRd,Utilities for processing Rd objects and files
gbs2ploidy,Inference of Ploidy from (Genotyping-by-Sequencing) GBS Data
gbts,Hyperparameter Search for Gradient Boosted Trees
gbutils,Simulation of Real and Complex Numbers and Small Programming Utilities
GCAI.bias,Guided Correction Approach for Inherited bias (GCAI.bias)
GCalcium,A Data Manipulation and Analysis Package for Calcium Indicator Data
GCalignR,Simple Peak Alignment for Gas-Chromatography Data
gCat,Graph-based two-sample tests for categorical data
gcbd,'GPU'/CPU Benchmarking in Debian-Based Systems
GCD,Global Charcoal Database
gcdnet,"LASSO and Elastic Net (Adaptive) Penalized Least Squares, Logistic Regression, HHSVM, Squared Hinge SVM and Expectile Regression using a Fast GCD Algorithm"
gcerisk,Generalized Competing Event Model
gcite,Google Citation Parser
gcKrig,Analysis of Geostatistical Count Data using Gaussian Copulas
gclm,Graphical Continuous Lyapunov Models
gclus,Clustering Graphics
gcmr,Gaussian Copula Marginal Regression
gconsensus,Consensus Value Constructor
gcookbook,"Data for ""R Graphics Cookbook"""
GCPM,Generalized Credit Portfolio Model
GCSM,Implements Generic Composite Similarity Measure
GD,Geographical Detectors for Assessing Spatial Factors
GDAdata,Datasets for the Book Graphical Data Analysis with R
gdalcubes,Earth Observation Data Cubes from Satellite Image Collections
gdalUtilities,Wrappers for 'GDAL' Utilities Executables
gdalUtils,Wrappers for the Geospatial Data Abstraction Library (GDAL) Utilities
gdata,Various R Programming Tools for Data Manipulation
GDAtools,A Toolbox for Geometric Data Analysis and More
gde,GBIF Dataset Explorer
gDefrag,Graph-Based Landscape De-Fragmentation
GDELTtools,"Download, slice, and normalize GDELT data"
gdiff,Graphical Difference Testing
GDINA,The Generalized DINA Model Framework
gdistance,Distances and Routes on Geographical Grids
gdm,Generalized Dissimilarity Modeling
gdmp,Genomic Data Management
gdns,Tools to Work with Google's 'DNS'-over-'HTTPS' ('DoH') API
gdpc,Generalized Dynamic Principal Components
gds,Descriptive Statistics of Grouped Data
gdtools,Utilities for Graphical Rendering
gdxdt,IO for GAMS GDX Files using 'data.table'
GE,General Equilibrium Modeling
gear,Geostatistical Analysis in R
GeDS,Geometrically Designed Spline Regression
gee,Generalized Estimation Equation Solver
GEEaSPU,Adaptive Association Tests for Multiple Phenotypes using Generalized Estimating Equations (GEE)
geeCRT,Bias-Corrected GEE for Cluster Randomized Trials
geecure,Marginal Proportional Hazards Mixture Cure Models with Generalized Estimating Equations
geeM,Solve Generalized Estimating Equations
GEEmediate,Mediation Analysis for Generalized Linear Models Using the Difference Method
geepack,Generalized Estimating Equation Package
geesmv,Modified Variance Estimators for Generalized Estimating Equations
geex,An API for M-Estimation
geigen,"Calculate Generalized Eigenvalues, the Generalized Schur Decomposition and the Generalized Singular Value Decomposition of a Matrix Pair with Lapack"
geiger,Analysis of Evolutionary Diversification
GEint,Misspecified Models for Gene-Environment Interaction
GEInter,Robust Gene-Environment Interaction Analysis
gelnet,Generalized Elastic Nets
gemlog,File Conversion for 'Gem Infrasound Logger'
gemma2,GEMMA Multivariate Linear Mixed Model
gems,Generalized Multistate Simulation Model
gemtc,Network Meta-Analysis Using Bayesian Methods
gen2stage,Generalized Two-Stage Designs for Phase II Single-Arm Studies
gen3sis,General Engine for Eco-Evolutionary Simulations
gen5helper,Processing 'Gen5' 2.06 Exported Data
genalg,R Based Genetic Algorithm
GenAlgo,Classes and Methods to Use Genetic Algorithms for Feature Selection
genasis,Global ENvironmental ASsessment Information System (GENASIS) computational tools
genBaRcode,Analysis and Visualization Tools for Genetic Barcode Data
GenBinomApps,Clopper-Pearson Confidence Interval and Generalized Binomial Distribution
gencve,General Cross Validation Engine
gendata,Generate and Modify Synthetic Datasets
gender,Predict Gender from Names Using Historical Data
gendist,Generated Probability Distribution Models
GENEAclassify,Segmentation and Classification of Accelerometer Data
GENEAread,Package for Reading Binary Files
GENEAsphere,Visualisation of Raw or Segmented Accelerometer Data
GeneBook,Multi-Types Gene ID Converting/Annotating
GeneClusterNet,Gene Expression Clustering and Gene Network
GeneCycle,Identification of Periodically Expressed Genes
geneExpressionFromGEO,Retrieves Gene Expression Dataset and Gene Symbols from GEO Code
GeneF,Package for Generalized F-statistics
geneHummus,A Pipeline to Define Gene Families in Legumes and Beyond
geneListPie,Profiling a gene list into GOslim or KEGG function pie
genemodel,Gene Model Plotting in R
GeneNet,Modeling and Inferring Gene Networks
geneNetBP,Belief Propagation in Genotype-Phenotype Networks
genepi,Genetic Epidemiology Design and Inference
genepop,Population Genetic Data Analysis Using Genepop
generalCorr,Generalized Correlations and Various Causal Paths
generalhoslem,Goodness of Fit Tests for Logistic Regression Models
GeneralisedCovarianceMeasure,Test for Conditional Independence Based on the Generalized Covariance Measure (GCM)
GeneralizedHyperbolic,The Generalized Hyperbolic Distribution
GeneralizedUmatrix,Credible Visualization for Two-Dimensional Projections of Data
GeneralOaxaca,Blinder-Oaxaca Decomposition for Generalized Linear Model
generator,Generate Data Containing Fake Personally Identifiable Information
generics,Common S3 Generics not Provided by Base R Methods Related to Model Fitting
genero,Estimate Gender from Names in Spanish and Portuguese
geneSignatureFinder,A Gene-signatures finder tools
GenEst,Generalized Mortality Estimator
genesysr,Genesys PGR Client
genetics,Population Genetics
GeneticSubsetter,Identify Favorable Subsets of Germplasm Collections
GeNetIt,Spatial Graph-Theoretic Genetic Gravity Modelling
GenForImp,The Forward Imputation: A Sequential Distance-Based Approach for Imputing Missing Data
GenHMM1d,Goodness-of-Fit for Univariate Hidden Markov Models
genie,"Fast, Robust, and Outlier Resistant Hierarchical Clustering"
genieclust,The Genie++ Hierarchical Clustering Algorithm with Noise Points Detection
genio,Genetics Input/Output Functions
